Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Юлиан Кошелев Васильевич, Дата Рождения: 1981-01-08, Место рождения Усть-Илимск, Номер паспорта: 4408066
Имя: Филипп Лаврентьев Владимирович, Дата Рождения: 1993-06-01, Место рождения Отрадная, Номер паспорта: 3607053
Имя: Дан Макаров Иванович, Дата Рождения: 1995-06-06, Место рождения Орск, Номер паспорта: 4408066
Имя: Николай Самойлов Романович, Дата Рождения: 1981-01-30, Место рождения Слоним, Номер паспорта: 3404067
Имя: Динар Романов Брониславович, Дата Рождения: 1995-05-13, Место рождения Астана, Номер паспорта: 5606049
Имя: Руслан Моисеенко Брониславович, Дата Рождения: 1992-01-20, Место рождения Назрань, Номер паспорта: 1401067
Имя: Йоган Моисеев Дмитриевич, Дата Рождения: 1981-01-30, Место рождения Байконур, Номер паспорта: 5900029
Имя: Зуфар Кириленко Дмитриевич, Дата Рождения: 1981-06-04, Место рождения Черногорск, Номер паспорта: 1506060
Имя: Глеб Пасичник Леонидович, Дата Рождения: 1989-10-04, Место рождения Алма-Ата, Номер паспорта: 2105065
Имя: Денис Белов Ярославович, Дата Рождения: 1989-08-25, Место рождения Лянтор, Номер паспорта: 1506060
Имя: Жерар Лаврентьев Романович, Дата Рождения: 1979-06-21, Место рождения Карабалык, Номер паспорта: 9508060
Имя: Денис Пасичник Фёдорович, Дата Рождения: 1980-06-14, Место рождения Можга, Номер паспорта: 0909067
